name_en,name_fi,name_se,date,public_holiday,common_holiday
New Year's Day,Uudenvuodenpäivä,Nyårsdagen,2025-01-01,yes,yes
Epiphany,Loppiainen,Trettondedag jul,2025-01-06,yes,yes
Good Friday,Pitkäperjantai,Långfredagen,2025-04-18,yes,yes
Easter,Pääsiäissunnuntai,Påskdagen,2025-04-20,yes,yes
Easter Monday,Toinen pääsiäispäivä,Annandag påsk,2025-04-21,yes,yes
May Day,Vappu,Första maj,2025-05-01,yes,yes
Ascension Day,Helatorstai,Kristi himmelsfärdsdag,2025-05-29,yes,yes
Pentecost,Helluntai,Pingstdagen,2025-06-08,yes,yes
Midsummer Eve,Juhannusaatto,Midsommarafton,2025-06-20,no,yes
Midsummer,Juhannus,Midsommardagen,2025-06-21,yes,yes
All Saints' Day,Pyhäinpäivä,Alla helgons dag,2025-11-01,yes,yes
Independence Day,Itsenäisyyspäivä,Finlands självständighetsdag,2025-12-06,yes,yes
Christmas Eve,Jouluaatto,Julafton,2025-12-24,no,yes
Christmas Day,Joulupäivä,Juldagen,2025-12-25,yes,yes
Boxing Day,Tapaninpäivä,Annandag jul,2025-12-26,yes,yes
