name_en,name_fi,name_se,date,public_holiday,common_holiday
New Year's Day,Uudenvuodenpäivä,Nyårsdagen,2024-01-01,yes,yes
Epiphany,Loppiainen,Trettondedag jul,2024-01-06,yes,yes
Good Friday,Pitkäperjantai,Långfredagen,2024-03-29,yes,yes
Easter,Pääsiäissunnuntai,Påskdagen,2024-03-31,yes,yes
Easter Monday,Toinen pääsiäispäivä,Annandag påsk,2024-04-01,yes,yes
May Day,Vappu,Första maj,2024-05-01,yes,yes
Ascension Day,Helatorstai,Kristi himmelsfärdsdag,2024-05-09,yes,yes
Pentecost,Helluntai,Pingstdagen,2024-05-19,yes,yes
Midsummer Eve,Juhannusaatto,Midsommarafton,2024-06-21,no,yes
Midsummer,Juhannus,Midsommardagen,2024-06-22,yes,yes
All Saints' Day,Pyhäinpäivä,Alla helgons dag,2024-11-02,yes,yes
Independence Day,Itsenäisyyspäivä,Finlands självständighetsdag,2024-12-06,yes,yes
Christmas Eve,Jouluaatto,Julafton,2024-12-24,no,yes
Christmas Day,Joulupäivä,Juldagen,2024-12-25,yes,yes
Boxing Day,Tapaninpäivä,Annandag jul,2024-12-26,yes,yes
